element,Z,A,nat_abund_pct,G,mass_calc_u,source_pdf_page_1indexed
D,1,2,0.0115,0,2.014169,12
He,2,4,99.999866,0,4.028339,12
Li,3,6,7.59,0,6.042508,12
Li,3,7,92.41,1,7.04219,12
Be,4,9,100.0,1,9.056359,12
B,5,10,19.9,0,10.070846,12
B,5,11,80.1,1,11.070528,12
C,6,12,98.93,0,12.085016,12
C,6,13,1.07,1,13.084698,12
N,7,14,99.636,0,14.099185,12
N,7,15,0.364,1,15.098867,12
O,8,16,99.757,0,16.113354,12
O,8,17,0.038,1,17.113036,12
O,8,18,0.205,2,18.112718,12
F,9,19,100.0,1,19.127205,12
Ne,10,20,90.48,0,20.141693,12
Ne,10,21,0.27,1,21.141375,12
Ne,10,22,9.25,2,22.141057,12
Na,11,23,100.0,1,23.155544,12
Mg,12,24,78.99,0,24.170031,12
Mg,12,25,10.0,1,25.169713,12
Mg,12,26,11.01,2,26.169395,12
Al,13,27,100.0,1,27.183882,12
Si,14,28,92.223,0,28.19837,12
Si,14,29,4.685,1,29.198052,12
Si,14,30,3.092,2,30.197734,12
P,15,31,100.0,1,31.212221,12
S,16,32,94.99,0,32.226708,12
S,16,33,0.75,1,33.22639,12
S,16,34,4.25,2,34.226072,12
S,16,36,0.01,4,36.225437,12
Cl,17,35,75.76,1,35.240559,12
Cl,17,37,24.24,3,37.239924,12
Ar,18,36,0.3365,0,36.255047,12
Ar,18,38,0.0632,2,38.254411,12
Ar,18,40,99.6003,4,40.253775,12
K,19,39,93.2581,1,39.268898,12
K,19,40,0.0117,2,40.26858,12
K,19,41,6.7302,3,41.268262,12
Ca,20,40,96.941,0,40.283385,12
Ca,20,42,0.647,2,42.282749,12
Ca,20,43,0.135,3,43.282432,12
Ca,19,40,0.0117,2,40.26858,13
Ca,19,41,6.7302,3,41.268262,13
Ca,20,40,96.941,0,40.283385,13
Ca,20,42,0.647,2,42.282749,13
Ca,20,43,0.135,3,43.282432,13
Ca,20,44,2.086,4,44.282114,13
Ca,20,46,0.004,6,46.281478,13
Ca,20,48,0.187,8,48.280843,13
Sc,21,45,100.0,3,45.296601,13
Ti,22,46,8.25,2,46.311088,13
Ti,22,47,7.44,3,47.31077,13
Ti,22,48,73.72,4,48.310452,13
Ti,22,49,5.41,5,49.310135,13
Ti,22,50,5.18,6,50.309817,13
V,23,50,0.25,4,50.324622,13
V,23,51,99.75,5,51.324304,13
Cr,24,50,4.345,2,50.339426,13
Cr,24,52,83.789,4,52.338791,13
Cr,24,53,9.501,5,53.338473,13
Cr,24,54,2.365,6,54.338155,13
Mn,25,55,100.0,5,55.352642,13
Fe,26,54,5.845,2,54.367765,13
Fe,26,56,91.754,4,56.367129,13
Fe,26,57,2.119,5,57.366812,13
Fe,26,58,0.282,6,58.366494,13
Co,27,59,100.0,5,59.380981,13
Ni,28,58,68.0769,2,58.396103,13
Ni,28,60,26.2231,4,60.395468,13
Ni,28,61,1.1399,5,61.39515,13
Ni,28,62,3.6345,6,62.394832,13
Ni,28,64,0.9256,8,64.394197,13
Cu,29,63,69.15,5,63.409319,13
Cu,29,65,30.85,7,65.408684,13
Zn,30,64,48.268,4,64.423806,13
Zn,30,66,27.975,6,66.423171,13
Zn,30,67,4.1,7,67.422853,13
Zn,30,68,19.024,8,68.422535,13
Zn,82,207,22.1,43,208.148213,20
Zn,82,208,52.4,44,209.147895,20
Bi,83,209,100.0,43,210.162382,20
Po,84,208,,40,209.177505,20
Po,84,209,,41,210.177187,20
At,85,210,,40,211.191674,20
Rn,86,211,,39,212.206161,20
Fr,87,212,,38,213.220648,20
Fr,87,222,,48,223.21747,20
Fr,87,223,,49,224.217153,20
Ra,88,226,,50,227.231004,20
Ra,88,228,,52,229.230368,20
Ac,89,227,,49,228.245491,20
Th,90,232,,52,233.258707,20
Pa,91,231,,49,232.27383,20
Pa,91,233,,51,234.273194,20
U,92,234,0.0054,50,235.287681,20
U,92,235,0.7204,51,236.287363,20
U,92,238,99.2742,54,239.28641,20
Np,93,236,,50,237.30185,20
Np,93,237,,51,238.301533,20
Pu,94,238,,50,239.31602,20
Pu,94,239,,51,240.315702,20
Pu,94,240,,52,241.315384,20
Pu,94,241,,53,242.315066,20
Pu,94,242,,54,243.314748,20
Pu,94,244,,56,245.314113,20
Am,95,241,,51,242.329871,20
Am,95,243,,53,244.329235,20
Cm,96,240,,48,241.344994,20
Cm,96,242,,50,243.344358,20
Cm,96,243,,51,244.34404,20
Cm,96,244,,52,245.343722,20
Cm,96,245,,53,246.343405,20
Cm,96,246,,54,247.343087,20
Cm,96,247,,55,248.342769,20
Cm,96,248,,56,249.342451,20
Cm,96,249,,57,250.342133,20
Cm,96,250,,58,251.341816,20
Bk,97,247,,53,248.357574,20
Bk,97,249,,55,250.356938,20
Cf,98,248,,52,249.372061,20
Cf,98,249,,53,250.371743,20
Cf,96,250,,58,251.341816,21
Bk,97,247,,53,248.357574,21
Bk,97,249,,55,250.356938,21
Cf,98,248,,52,249.372061,21
Cf,98,249,,53,250.371743,21
Cf,98,250,,54,251.371425,21
Cf,98,251,,55,252.371108,21
Cf,98,253,,57,254.370472,21
Es,99,252,,54,253.385595,21
Es,99,254,,56,255.384959,21
Fm,100,252,,52,253.4004,21
Fm,100,254,,54,255.399764,21
Fm,100,257,,57,258.398811,21
